,name,privacy,id,community
0,ОБРАЗ ПОБЕДЫ: причины и идеи,SECRET,4066369116814175,0
1,Hi! Futurefood. Растительные альтернативы.,OPEN,146682967387553,0
2,Пробная группа,SECRET,292010542346952,0
3,"Дирекция Северо-Запад, Золотое Кольцо Север",CLOSED,268945261319227,0
4,Отдел по оценке и развитию персонала,OPEN,393076501790687,0
5,Отдел по обучению и развитию персонала,OPEN,339196543795406,0
6,Отдел по экономическому моделированию,OPEN,461887918156228,0
7,Управление бюджетирования и анализа,OPEN,720004062209928,0
8,Отдел контроля затрат,OPEN,236771207999145,0
9,Отдел маркетинговых исследований,OPEN,411468193453019,0
10,Отдел материального обеспечения,OPEN,528871248078319,0
11,ОМК,OPEN,142079644302055,0
12,Управление по работе с локальными сетями,OPEN,166797551532194,0
13,РУМПП,OPEN,118113890175881,0
14,Региональная служба продаж,OPEN,1307967472911665,0
15,ОКО,OPEN,840031823444479,0
16,"ФН ""Трейд""",OPEN,117790203540409,0
17,ТК Масло,OPEN,423013802235926,0
18,ТК Майонез и соусы,OPEN,128622002418184,0
19,"ФН ""Полевой персонал""",OPEN,119135510004602,0
20,Служба по автоматизации бизнес-процессов,OPEN,154546562926382,0
21,Подготовка постов по производственным площадкам Компании,SECRET,546051883018327,0
22,Новогодний марафон 2021,SECRET,301404397943476,0
23,"Пилотный проект ""Зеленая полка""",SECRET,234522391422190,0
24,Отдел по подбору персонала,OPEN,671773496843684,0
25,Зеленая полка,OPEN,747740592620093,0
26,Руководители ФС,SECRET,978743929219866,0
27,Корпоративный отдых,SECRET,726774677897890,0
28,Маргарины и Спреды,OPEN,1188270201550164,0
29,ФС пробная,SECRET,2755443128021062,0
30,УБА и Ко,SECRET,1471569756363902,0
31,ОБА МСБ,CLOSED,3447449745307373,0
32,ABOUT NEWS,SECRET,302724537639796,0
33,Командное самообучение,SECRET,321347595940004,0
34,Управление рисками,CLOSED,778096419660657,0
35,Главное управление цензуры,CLOSED,1632807133564029,0
36,"Проект ""Салатные заправки"" ТМ Altero",SECRET,202898021145398,0
37,"Пилотный проект ""Йогурты 2.0""",SECRET,2656415464604213,0
38,Пилотные проекты,OPEN,241320683845960,0
39,Финансовая служба,SECRET,215131529585775,0
40,Ростовская область,CLOSED,431811907709933,0
41,"ФН ""Сети""",OPEN,2512618345497668,0
42,Южные поля,CLOSED,509605543226413,0
43,"ФН ""Справедливые Целевые Показатели""",OPEN,2452214891682350,0
44,"Пилотный Проект ""Веганез""",SECRET,459263074665388,0
45,"Федеральный флайт по майонезу ТМ Слобода ""Живая еда для живого ума""",OPEN,643115262876575,0
46,Сибирь - сила,CLOSED,653146141873111,0
47,«Москва за нами!». Энергия полей.,OPEN,711825422582767,0
48,"Пилотный Проект ""Творожные десерты""",SECRET,706154893178098,0
49,ТК Кетчуп,OPEN,627192494469469,0
50,Дистрибьюторы,OPEN,1286124211563783,0
51,Хорека,CLOSED,630417074093318,0
52,Флайт в поддержку обезжиренных йогуртов Слобода,OPEN,592851407863945,0
53,Efko Leader Tool,OPEN,994185634120901,0
54,Алгоритмы,SECRET,2093687364267775,0
55,ТК Йогурт,OPEN,499504100581245,0
56,Стальной характер Воронеж,OPEN,793709921027698,0
57,Дополнительные мотивационные программы,CLOSED,2565405416820276,0
58,Проект AlteroX2,SECRET,2379633928736776,0
59,Эксклюзивный рекрутинг БД,SECRET,1196230373887257,0
60,Отдел обработки и анализа данных,OPEN,812327729105619,0
61,Служба информационных технологий,CLOSED,2420052841361748,0
62,Москва 3500,CLOSED,290099538322888,0
63,Творожки Слобода,OPEN,252285582340020,0
64,Биокефиры Слобода,OPEN,2383902218562643,0
65,Продажи (экспорт),OPEN,302305900424638,0
66,Проект Violio,SECRET,2450707168304054,0
67,Дистры Остатки И Заказы Эксперимент,CLOSED,1195466453941586,0
68,Информационно-аналитический отдел,OPEN,376859803111755,0
69,Дирекция Сибирь - Дальний Восток,CLOSED,543882236125501,0
70,Санкт-Петербург Северо-Запад Золотое-Кольцо,CLOSED,341597539769048,0
71,Управление по работе с Федеральными КК,CLOSED,282782549064881,0
72,Дирекция Москва - Золотое кольцо,CLOSED,381208039103259,0
73,Помощь по Системе,OPEN,2230263473892230,0
74,ШТАБ,SECRET,372185353560520,0
75,Дирекция Урал - Поволжье,CLOSED,840841126262766,0
76,Дирекция ЮГ,OPEN,235076277396303,0
77,РМ  РКД,SECRET,239086210339269,0
78,РКД,SECRET,246283672956509,0
79,Маркетинг БД,SECRET,819883838355761,0
